Barcode,Product Name,Purchased Price,Qty Available,Price
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
4806528500000,COMETA 350 ML,42.0,21.0,60.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
4800016552274,NISSIN CUP NOODLES MINI BULALO 40G,21.2,1.0,26.0
4800016552106,NISSIN CUP NOODLES MINI BEEF 40G,21.2,2.0,26.0
4800016552137,NISSIN CUP NOODLES MINI BATCHOY 40G,21.2,4.0,26.0
480016560927,NISSIN CUP NOODLES MINI SPICY HOT BEEF 45G,21.2,3.0,26.0
748485800738,ARGENTINA BEEF LOAF 150G,19.65,0.0,26.0
748485800431,ARGENTINA CORNDED BEEF 150G,34.6,6.0,40.0
4800066122106,HOLIDAY CARNE NORTE 100G,20.6,6.0,26.0
4800066121109,HOLIDAY BEEF LOAF 100G,17.5,6.0,20.0
4800066121154,HOLIDAY BEEF LOAF 150G,19.6,6.0,25.0
4800066122168,HOLIDAY CORNDED BEEF 150G,34.8,6.0,40.0
4800036707074,NAGOYA SARDINES RED 155G,24.25,6.0,28.0
4806503244080,FAMILY'S SARDINES BONUS GREEN 155G,23.3,6.0,27.0
4806503244097,FAMILY'S SARDINES HOT BONUS 155G,23.65,6.0,28.0
748485100401,CENTRURY TUNA FLAKES IN OIL 155G,35.1,3.0,40.0
748485100418,CENTRURY TUNA FLAKES HOT & SPICY 155G,35.5,3.0,41.0
4806504710126,MEGA SARDINES HOT 155G,23.9,6.0,28.0
4806504710119,MEGA SARDINES GREEN 155G,23.6,6.0,27.0
4806503248019,ATAMI SARDINES 155G GREEN,20.85,3.0,25.0
4800575110151,ALASKA EVAPORATED 154ML,28.75,2.0,36.0
4800575144293,ALASKA CREMA-ASADA 150ML,25.4,2.0,30.0
4800575144910,COWBELL CONDENSADA 374G,41.5,3.0,48.0
4806516761888,JERSEYCONDENSED FILLED MILK 390G,41.6,3.0,47.0
748485400716,ANGEL EVAPORADA LIQUID CREAMER 410ML,31.0,3.0,37.0
4800575140370,ANGEL EVAPORADA 360ML,34.25,3.0,38.0
748485402062,ANGEL ALL PURPOSE CREAMER 250ML TETRA,48.1,3.0,55.0
4800361061322,NESTLE ALL PURPOSE CREAMER 250ML ,66.5,3.0,75.0
4809011225893,SULU ALAMANG HIPON SMALL,28.9,3.0,35.0
4800049720114,NATURE SPRING WATER 500ML,8.75,10.0,15.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
4807770270123,LUCKY ME PANCIT CANTON KALAMANSI 60G,11.3,10.0,15.0
4807770271229,LUCKY ME PANCIT CANTON EXTRA HOT & CHILI 60G,11.3,10.0,15.0
